,QS Linear,,,QSGE Linear,,,QS Intersectional,,,QSGE Intersectional,,
Intercept,0.4227218987,0.2748278636,0.5774633034,0.4199108312,0.2681952069,0.5768711852,0.3333148455,0.1072018457,0.5498142748,0.3209480573,0.1070145537,0.5405381193
rater_raceBlackDAfricanAmerican,-0.07882819243,-0.2078553684,0.0578150669,-0.07621683359,-0.2126029645,0.06226380114,-0.08621180646,-0.3784084677,0.2152901387,-0.04022185033,-0.3295389381,0.2522461584
rater_raceLatinXLatinoHispanicorSpanishOrigin,-0.07304303095,-0.2151130394,0.06460538293,-0.04508001179,-0.1919427524,0.100199047,0.06483466464,-0.2383392435,0.3862436737,0.1052869555,-0.1972380292,0.4072522496
rater_raceMultiracial,0.08112023389,-0.06670551253,0.2443671451,0.09316429647,-0.06907668858,0.2509536801,0.2659561453,-0.03215768805,0.567627702,0.2868762532,-0.01222699316,0.5824386768
rater_raceWhite,-0.1736916815,-0.3095502044,-0.03142275789,-0.1457084188,-0.2856999119,0.003184778805,0.001526829131,-0.3121555464,0.3235837423,-0.008643623935,-0.3242146867,0.3178971248
rater_genderWoman,0.1352390546,0.03818829349,0.2271858959,0.1186851803,0.02914106866,0.2088161367,0.2467924406,0.03967738957,0.4494418247,0.2539202008,0.06286195633,0.4426935669
rater_agegenz,0.01016685138,-0.1076820775,0.1239086438,-0.007076167133,-0.1236949474,0.1061303702,0.0563011461,-0.2674654399,0.3660093226,-0.001338297661,-0.3102478328,0.305775489
rater_agemillenial,-0.0530705266,-0.1832508126,0.07129928636,-0.05571516766,-0.1813169496,0.07030313376,-0.01636174733,-0.2520436107,0.2083594821,0.0004412772895,-0.220471892,0.2179236949
degree_of_harmDebatable,-0.006248092311,-0.1271304148,0.1097900181,-0.003128024788,-0.1286360638,0.1198318254,0.03991734418,-0.0958924172,0.1742567845,0.04686577539,-0.08236823637,0.180277514
degree_of_harmExtreme,0.04282251176,-0.04493908517,0.127192437,0.04641420552,-0.03660640793,0.1291741096,0.06881228612,-0.02211019936,0.154156949,0.07132872934,-0.02472184837,0.1657907335
degree_of_harmModerate,0.04516448469,-0.04365477348,0.1365795913,0.05002116267,-0.04055356365,0.1436400817,0.07819797496,-0.02102780915,0.1745387252,0.08120102327,-0.01863954933,0.1800960907
rater_raceBlackDAfricanAmerican:rater_genderWoman,,,,,,,-0.1170279477,-0.3962139857,0.1754359707,-0.1876110791,-0.4477832744,0.0856385024
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_genderWoman,,,,,,,-0.2852238776,-0.5664009777,0.0004992089699,-0.2895533421,-0.5599813172,-0.003209554201
rater_raceMultiracial:rater_genderWoman,,,,,,,-0.2527873073,-0.5973674888,0.1042732218,-0.2569993858,-0.5868599202,0.08888518228
rater_raceWhite:rater_genderWoman,,,,,,,-0.05313684049,-0.3366180603,0.2327409048,-0.06565232225,-0.3396009502,0.205211527
rater_raceBlackDAfricanAmerican:rater_agegenz,,,,,,,0.08586689118,-0.3248042919,0.5045160404,0.1292497201,-0.2613917658,0.512024018
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agegenz,,,,,,,0.02263194342,-0.3793116438,0.428404476,0.05909598627,-0.3326981147,0.4696850327
rater_raceMultiracial:rater_agegenz,,,,,,,-0.1225605028,-0.5500123211,0.3103205515,-0.09248121023,-0.5011101275,0.3353339839
rater_raceWhite:rater_agegenz,,,,,,,-0.1916531713,-0.5889853997,0.2129611328,-0.1105160059,-0.4808783356,0.283785592
rater_raceBlackDAfricanAmerican:rater_agemillenial,,,,,,,0.01942094562,-0.3811555488,0.3993554055,0.04126304937,-0.3329371244,0.409779881
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agemillenial,,,,,,,0.09922794789,-0.2685841617,0.4484281282,0.006430405196,-0.3326366279,0.3609846904
rater_raceMultiracial:rater_agemillenial,,,,,,,-0.1516814886,-0.5291107673,0.2288271599,-0.1856685309,-0.5435758475,0.1722899454
rater_raceWhite:rater_agemillenial,,,,,,,-0.1465761656,-0.5382445679,0.2457644387,-0.1344990323,-0.5256011779,0.2613350481
rater_raceBlackDAfricanAmerican:degree_of_harmDebatable,,,,,,,-0.041133504,-0.1141157233,0.03466323972,-0.04295209041,-0.1195847987,0.03323648015
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmDebatable,,,,,,,-0.1009343559,-0.1814245507,-0.02083285592,-0.102537573,-0.1842841594,-0.02301740029
rater_raceMultiracial:degree_of_harmDebatable,,,,,,,-0.03551727735,-0.1205736827,0.05450701851,-0.03774694061,-0.1273128202,0.05694761078
rater_raceWhite:degree_of_harmDebatable,,,,,,,-0.07524571664,-0.1487921667,-0.001711924425,-0.07645534099,-0.1527398285,0.004684249201
rater_raceBlackDAfricanAmerican:degree_of_harmExtreme,,,,,,,-0.02669089195,-0.07720945375,0.02445375038,-0.02761915801,-0.08877460369,0.03260436128
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmExtreme,,,,,,,-0.04672072997,-0.1012621815,0.008191518416,-0.0482132474,-0.1123859792,0.01964657978
rater_raceMultiracial:degree_of_harmExtreme,,,,,,,-0.0348787149,-0.09549948113,0.02804021465,-0.0368294589,-0.108280603,0.03710539912
rater_raceWhite:degree_of_harmExtreme,,,,,,,-0.02481581621,-0.07451342268,0.02620770011,-0.02620219746,-0.08742089631,0.03491553265
rater_raceBlackDAfricanAmerican:degree_of_harmModerate,,,,,,,-0.003888315851,-0.06005107763,0.05168962969,-0.005624387462,-0.06554643551,0.0532852706
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmModerate,,,,,,,-0.06872270229,-0.1276986956,-0.01058095655,-0.07029947955,-0.1361506558,-0.005650112594
rater_raceMultiracial:degree_of_harmModerate,,,,,,,-0.02482959344,-0.0910893521,0.03959898508,-0.02706711712,-0.09618646158,0.04449308886
rater_raceWhite:degree_of_harmModerate,,,,,,,-0.05755082887,-0.1130692957,-0.004531243806,-0.05937595363,-0.1188572648,-0.001070673461
sd_item_id_intercept,0.2197177994,0.2034157891,0.2382315323,0.2195096415,0.2040130472,0.2367304872,0.2194254337,0.2026277326,0.2372646775,0.220093039,0.2039500424,0.2372929121
sd_conversation_id_intercept,0.2502321479,0.2202991228,0.2873458604,0.228523557,0.1940431578,0.265490674,0.2517076857,0.2198475653,0.2909804603,0.2339202728,0.2004808851,0.274257157
sd_conversation_id_intercept,,,,0.02863435525,0.001823828694,0.06504903628,,,,0.0257583607,0.001409486013,0.06032180432
sd_conversation_id_intercept,,,,0.05705604728,0.03631501261,0.0794216672,,,,0.05823579139,0.03629072093,0.08090128808
sd_conversation_id_intercept,,,,0.04137384406,0.01690800049,0.06681579121,,,,0.04061001003,0.01617524872,0.06600145488
sd_conversation_id_intercept,,,,0.2562225394,-0.5553816405,0.8499170631,,,,0.2413963457,-0.5860018193,0.842820463
sd_conversation_id_intercept,,,,0.3330971001,0.003553191731,0.6708885141,,,,0.2760200772,-0.08178423299,0.6473210519
sd_conversation_id_intercept,,,,-0.05066785467,-0.7629591436,0.7413965354,,,,-0.05879616875,-0.7927028192,0.7167451953
sd_conversation_id_intercept,,,,0.6156050451,0.1915612402,0.9371136769,,,,0.6019755495,0.1569310889,0.9223445632
sd_conversation_id_intercept,,,,0.3766216805,-0.573203401,0.9068761045,,,,0.301661416,-0.5709809482,0.8825758228
sd_conversation_id_intercept,,,,0.5257349885,-0.06254624873,0.8467146541,,,,0.571261793,-0.04097110695,0.8823976309